ALPHA_CODE,EQUITY_NAME,YEAR,WEEK,ACTUAL_CLOSE,ACTUAL_VOLUME,MARKET_CAP,DIV_YIELD,PE_RATIO,EQUITY_STATUS
AFE,A E C I LTD ORD,2013,1,1800," 54,637 "," 2,784,002,634 ",3.2222,14.754,C
AFE,A E C I LTD ORD,2013,2,1825," 30,100 "," 2,822,669,337 ",3.178,14.959,C
AFE,A E C I LTD ORD,2013,3,1825," 17,505 "," 2,822,669,337 ",3.178,14.959,C
AFE,A E C I LTD ORD,2013,4,1825," 17,486 "," 2,822,669,337 ",3.178,14.959,C
AFE,A E C I LTD ORD,2013,5,1875," 57,050 "," 2,900,002,743 ",3.0933,15.3688,C
AFE,A E C I LTD ORD,2013,6,1900," 24,465 "," 2,938,669,447 ",3.0526,15.5737,C
AFE,A E C I LTD ORD,2013,7,1950," 7,210 "," 3,016,002,853 ",2.9743,12.745,C
AFE,A E C I LTD ORD,2013,8,2000," 38,020 "," 3,093,336,260 ",2.9,13.0718,C
AFE,A E C I LTD ORD,2013,9,2000, -   ," 3,093,336,260 ",2.9,13.0718,C
AFE,A E C I LTD ORD,2013,10,2300," 206,562 "," 3,557,336,699 ",2.5217,15.0326,C
AFE,A E C I LTD ORD,2013,11,2250," 26,143 "," 3,480,003,292 ",2.5777,14.7058,C
AFE,A E C I LTD ORD,2013,12,2050," 49,850 "," 3,170,669,666 ",2.8292,13.3986,C
AFE,A E C I LTD ORD,2013,13,2100," 15,390 "," 3,248,003,073 ",2.7619,13.7254,C
AFE,A E C I LTD ORD,2013,14,2100," 5,600 "," 3,248,003,073 ",2.7619,13.7254,C
AFE,A E C I LTD ORD,2013,15,2250," 10,779 "," 3,480,003,292 ",2.5777,14.7058,C
AFE,A E C I LTD ORD,2013,16,2600," 54,300 "," 4,021,337,138 ",2.2307,16.9934,C
AFE,A E C I LTD ORD,2013,17,2500," 8,500 "," 3,866,670,325 ",2.32,16.3398,C
